finished_step,start_time,end_time,minutes_took
refresh,2014-02-14 20:49:18.238040+00:00,2014-02-14 20:58:23.140855+00:00,9
cleanout,2014-02-14 20:58:24.630032+00:00,2014-02-14 21:08:17.865181+00:00,9
validate,2014-02-14 21:08:19.979172+00:00,2014-02-14 21:22:29.669621+00:00,14
deduphard,2014-02-14 21:22:31.016385+00:00,2014-02-14 21:27:05.041210+00:00,4
refresh,2014-02-14 22:16:13.560632+00:00,2014-02-15 00:11:30.502948+00:00,115
cleanout,2014-02-15 00:16:34.706638+00:00,2014-02-15 00:19:16.831611+00:00,2
refresh,2014-02-15 02:00:48.784440+00:00,2014-02-15 04:52:53.568580+00:00,172
cleanout,2014-02-15 04:57:55.612344+00:00,2014-02-15 05:00:43.233187+00:00,2
validate,2014-02-15 05:05:45.160606+00:00,2014-02-15 12:48:19.505518+00:00,462
refresh,2014-02-15 15:27:50.123630+00:00,2014-02-16 15:10:15.436709+00:00,1422
deduphard,2014-02-15 12:54:44.955456+00:00,2014-02-17 05:42:18.585960+00:00,1007
refresh,2014-02-17 10:31:40.117796+00:00,2014-02-17 12:18:12.362485+00:00,106
refresh,2014-02-17 17:32:54.052102+00:00,2014-02-17 19:48:31.805023+00:00,135
cleanout,2014-02-17 19:53:33.000991+00:00,2014-02-17 19:57:20.449911+00:00,3
validate,2014-02-17 22:47:52.444563+00:00,2014-02-18 03:05:37.233561+00:00,257
cleanout,2014-02-18 22:01:51.517498+00:00,2014-02-18 22:04:07.397891+00:00,2
cleanout,2014-02-18 22:54:18.430417+00:00,2014-02-18 22:56:34.840619+00:00,2
refresh,2014-02-19 00:30:04.724874+00:00,2014-02-19 00:36:48.614296+00:00,6
cleanout,2014-02-19 00:40:13.724101+00:00,2014-02-19 00:40:16.592658+00:00,0
cleanout,2014-02-19 01:00:42.677245+00:00,2014-02-19 01:00:45.449024+00:00,0
cleanout,2014-02-19 01:01:47.762996+00:00,2014-02-19 01:01:48.076677+00:00,0
validate,2014-02-19 01:10:54.173679+00:00,2014-02-19 01:31:29.771487+00:00,20
deduphard,2014-02-19 01:40:01.578407+00:00,2014-02-19 01:40:33.278500+00:00,0
refresh,2014-02-19 02:04:42.556611+00:00,2014-02-19 05:19:23.359422+00:00,194
cleanout,2014-02-19 05:24:24.557195+00:00,2014-02-19 05:28:23.945909+00:00,3
validate,2014-02-19 05:33:25.409069+00:00,2014-02-19 10:15:09.077261+00:00,281
cleanout,2014-02-19 17:03:03.698366+00:00,2014-02-19 17:24:37.812987+00:00,21
cleanout,2014-02-19 18:33:27.440464+00:00,2014-02-19 18:35:35.710919+00:00,2
refresh,2014-02-19 19:56:31.891769+00:00,2014-02-19 21:57:22.949073+00:00,120
refresh,2014-02-20 02:09:09.771065+00:00,2014-02-20 02:12:50.539521+00:00,3
cleanout,2014-02-20 02:14:02.997375+00:00,2014-02-20 02:14:03.673989+00:00,0
validate,2014-02-20 02:14:44.782380+00:00,2014-02-20 02:24:41.345808+00:00,9
deduphard,2014-02-20 02:25:32.888675+00:00,2014-02-20 02:25:50.567424+00:00,0
cleanout,2014-02-20 02:31:16.269386+00:00,2014-02-20 02:31:56.560536+00:00,0
cleanout,2014-02-20 02:44:31.211302+00:00,2014-02-20 02:44:32.222090+00:00,0
validate,2014-02-20 02:49:33.575955+00:00,2014-02-20 03:21:17.598230+00:00,31
deduphard,2014-02-20 03:26:19.084537+00:00,2014-02-20 03:29:55.495593+00:00,3
refresh,2014-02-20 02:40:21.586367+00:00,2014-02-20 06:17:28.431204+00:00,217
cleanout,2014-02-20 06:22:29.715361+00:00,2014-02-20 06:28:52.376194+00:00,6
validate,2014-02-20 06:33:53.963745+00:00,2014-02-20 11:24:43.183544+00:00,290
refresh,2014-03-13 19:56:05.916403+00:00,2014-03-13 19:59:20.969505+00:00,3
cleanout,2014-03-13 19:59:20.969978+00:00,2014-03-13 19:59:22.676009+00:00,0
validate,2014-03-13 19:59:22.677453+00:00,2014-03-13 20:05:13.369455+00:00,5
deduphard,2014-03-13 20:05:13.405680+00:00,2014-03-13 20:07:32.127343+00:00,2
